"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Mega Rayquaza","Dragon Tail","Dragon Ascent","31.647","1368.1","81.15","6535"
"Mega Rayquaza","Air Slash","Dragon Ascent","30.366","1312.7","77.86","6535"
"Mega Mewtwo Y","Confusion","Psystrike","28.279","1115.7","70.87","6419"
"Mega Mewtwo Y","Psycho Cut","Psystrike","28.098","1108.5","70.42","6419"
"Mega Mewtwo X","Confusion","Psystrike","27.376","1080","68.61","6212"
"Mega Mewtwo X","Psycho Cut","Psystrike","27.21","1073.5","68.19","6212"
"Shadow Mewtwo","Confusion","Psystrike","27.078","808.2","63.29","4780"
"Shadow Mewtwo","Psycho Cut","Psystrike","26.963","804.8","63.02","4780"
"Mega Mewtwo Y","Confusion","Psychic","26.367","1040.2","66.08","6419"
"Mega Mewtwo Y","Psycho Cut","Psychic","25.841","1019.5","64.76","6419"
"Mega Rayquaza","Dragon Tail","Outrage","25.749","1113.1","66.02","6535"
"Mega Mewtwo X","Confusion","Psychic","25.524","1007","63.97","6212"
"Shadow Mewtwo","Confusion","Psychic","25.198","752.1","58.9","4780"
"Mega Lucario","Counter","Aura Sphere","25.196","710.7","58.07","4377"
"Mega Rayquaza","Dragon Tail","Breaking Swipe","25.05","1082.9","64.23","6535"
"Mega Mewtwo X","Psycho Cut","Psychic","25.024","987.2","62.71","6212"
"Mega Gengar","Lick","Shadow Ball","24.841","717.5","57.59","4960"
"Mega Gengar","Shadow Claw","Shadow Ball","24.776","715.6","57.44","4960"
"Shadow Mewtwo","Psycho Cut","Psychic","24.764","739.1","57.88","4780"
"Mega Blaziken","Counter","Blast Burn","24.732","736.6","57.78","4760"
"Mega Alakazam","Confusion","Psychic","24.679","700.3","56.96","5160"
"Rayquaza","Dragon Tail","Dragon Ascent","24.558","822.4","59.08","4387"
"Mega Rayquaza","Air Slash","Outrage","24.497","1059","62.81","6535"
"Mega Mewtwo Y","Confusion","Shadow Ball","24.466","965.3","61.32","6419"
"Mega Blaziken","Fire Spin","Blast Burn","24.384","726.3","56.96","4760"
"Mega Lucario","Bullet Punch","Aura Sphere","24.382","687.8","56.19","4377"
"Mega Alakazam","Psycho Cut","Psychic","24.212","687","55.88","5160"
"Mega Mewtwo X","Confusion","Focus Blast","24.08","950","60.35","6212"
"Mega Sceptile","Fury Cutter","Frenzy Plant","24.069","718.2","56.25","4640"
"Mega Gengar","Hex","Shadow Ball","24.023","693.9","55.69","4960"
"Primal Kyogre","Waterfall","Origin Pulse","23.934","1253","64.38","6752"
"Shadow Rampardos","Smack Down","Rock Slide","23.909","459","50.05","3773"
"Primal Groudon","Mud Shot","Precipice Blades","23.899","1251.1","64.29","6752"
"Mega Rayquaza","Dragon Tail","Hurricane","23.872","1032","61.21","6535"
"Mega Gengar","Shadow Claw","Sludge Bomb","23.805","687.6","55.19","4960"
"Shadow Chandelure","Fire Spin","Shadow Ball","23.734","525.9","51.49","3739"
"Mega Mewtwo X","Confusion","Shadow Ball","23.685","934.4","59.36","6212"
"Mega Gengar","Lick","Sludge Bomb","23.682","684","54.9","4960"
"Mega Alakazam","Counter","Psychic","23.639","670.8","54.56","5160"
"Shadow Salamence","Dragon Tail","Outrage","23.617","660.5","54.31","4289"
"Mega Mewtwo Y","Psycho Cut","Shadow Ball","23.607","931.3","59.16","6419"
"Rayquaza","Air Slash","Dragon Ascent","23.596","790.2","56.76","4387"
"Shadow Honchkrow","Snarl","Sky Attack","23.507","440.4","48.91","3102"
"Mega Mewtwo X","Psycho Cut","Focus Blast","23.416","923.8","58.69","6212"
"Shadow Gengar","Lick","Shadow Ball","23.367","431","48.42","3292"
"Deoxys (Attack Forme)","Zen Headbutt","Dark Pulse","23.344","171.8","38.45","2951"
"Mega Charizard Y","Fire Spin","Blast Burn","23.343","845.6","57.27","5097"
"Mega Gengar","Sucker Punch","Shadow Ball","23.335","674","54.1","4960"
"Shadow Mewtwo","Confusion","Shadow Ball","23.33","696.3","54.53","4780"
"Primal Groudon","Dragon Tail","Precipice Blades","23.313","1220.5","62.71","6752"
"Shadow Gengar","Shadow Claw","Shadow Ball","23.301","429.8","48.29","3292"
"Mega Garchomp","Dragon Tail","Outrage","23.241","1110.7","61.11","6206"
"Shadow Regigigas","Zen Headbutt","Giga Impact","23.222","815.8","56.54","4972"
"Shadow Metagross","Bullet Punch","Meteor Mash","23.2","764.6","55.59","4337"
"Calyrex - Shadow Rider","Confusion","Shadow Ball","23.167","845.7","56.94","5194"
"Mega Rayquaza","Air Slash","Breaking Swipe","23.159","1001.2","59.38","6535"
"Deoxys (Attack Forme)","Poison Jab","Dark Pulse","23.139","170.3","38.11","2951"
"Shadow Chandelure","Incinerate","Shadow Ball","23.122","512.3","50.17","3739"
"Mega Blaziken","Counter","Blaze Kick","23.098","687.9","53.96","4760"
"Shadow Salamence","Dragon Tail","Draco Meteor","23.071","645.2","53.05","4289"
