Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Shuckle,100,213,bug,rock,26.9,345.4,84,780081,50,458,Rock Throw,Gyro Ball,Return,10,14,3,50000
Marill,99.3,183,water,fairy,42,89.9,157,593092,50,499,Bubble,Aqua Tail,Body Slam,4,4,3,50000
Shuckle (Shadow),99.2,213,bug,rock,26.9,345.4,84,780081,50,458,Rock Throw,Frustration,Gyro Ball,14,10,3,50000
Bronzor,96.2,436,steel,psychic,37.7,134.9,130,661560,42.5,499,Confusion,Gyro Ball,Heavy Slam,4,4,3,50000
Skrelp,92,690,poison,water,64,70.3,86,387069,18,498,Acid,Aqua Tail,Sludge Bomb,5,7,3,50000
Dewpider,91.1,751,water,bug,54.2,93.4,91,460799,28.5,500,Bug Bite,Mirror Coat,Bubble Beam,19,14,3,50000
Seel,86.6,86,water,none,53.8,80.4,107,463322,20.5,500,Lick,Aqua Tail,Icy Wind,12,15,3,50000
Shelmet,86.6,616,bug,none,50.3,99.8,99,496726,24.5,500,Acid,Body Slam,Bug Buzz,5,8,3,50000
Tinkaton,86.4,959,fairy,steel,61.6,80.2,82,405445,8.5,500,Fairy Wind,Bulldoze,Flash Cannon,5,8,3,75000
Tentacool,86.3,72,water,poison,57.6,95.5,78,429374,19,497,Poison Sting,Wrap,Water Pulse,5,6,3,50000
Araquanid,86,752,water,bug,56.3,100.9,78,442815,10.5,500,Bug Bite,Bubble Beam,Bug Buzz,14,20,3,50000
Shelmet (Shadow),85.7,616,bug,none,50.3,99.8,99,496726,24.5,500,Acid,Body Slam,Bug Buzz,5,8,3,50000
Grimer (Alolan) (Shadow),85.4,88,poison,dark,69.5,50.5,102,357792,14,499,Bite,Crunch,Frustration,23,35,3,50000
Stunky (Shadow),85.1,434,poison,dark,67.8,57,94,363282,16.5,498,Bite,Crunch,Flamethrower,23,28,3,50000
Wobbuffet,84.8,202,psychic,none,38,74.1,235,660649,21,500,Charm,Mirror Coat,,7,0,3,50000
Skuntank (Shadow),84.3,435,poison,dark,70.9,55.2,90,352071,8,500,Bite,Crunch,Flamethrower,23,28,3,50000
Venonat,84.2,48,bug,poison,61.3,66.1,100,405313,19.5,499,Bug Bite,Poison Fang,Psybeam,14,20,3,50000
Shellos,84,422,water,none,59.5,65,109,421414,17,500,Mud Slap,Body Slam,Mud Bomb,4,4,3,50000
Venonat (Shadow),84,48,bug,poison,61.3,66.1,100,405313,19.5,499,Bug Bite,Frustration,Poison Fang,24,14,3,50000
Eevee,83.9,133,normal,none,61.8,72,91,404633,18,500,Quick Attack,Body Slam,Dig,5,7,5,75000
Wooper,83.6,194,water,ground,59.2,60,119,422775,33,500,Mud Shot,Mud Bomb,Body Slam,5,5,3,50000
Binacle,83.4,688,rock,water,61.1,81.7,82,409003,20.5,500,Mud Slap,Ancient Power,Cross Chop,5,4,3,50000
Cubone,83.4,104,ground,none,55.3,92.6,88,450677,19,500,Mud Slap,Bone Club,Bulldoze,4,5,3,50000
Cubone (Shadow),83.4,104,ground,none,55.3,92.6,88,450677,19,500,Mud Slap,Bone Club,Bulldoze,4,5,3,50000
Drapion (Shadow),83.1,452,poison,dark,69,79.5,66,362498,8,500,Bite,Aqua Tail,Crunch,18,23,5,75000
Smeargle,83.1,235,normal,none,46.2,82.3,135,513797,50,487,Acid,Acid Spray,Aerial Ace,6,6,3,false
Vulpix,83.1,37,fire,none,62.7,77.1,82,395963,22,498,Ember,Weather Ball (Fire),Body Slam,4,4,3,50000
Swablu,82.8,333,normal,flying,52.9,94.6,94,470159,24.5,500,Astonish,Aerial Ace,Disarming Voice,5,5,1,10000
Miltank,82.7,241,normal,none,60.8,78,86,408023,8,499,Rollout,Body Slam,Gyro Ball,3,4,5,75000
Muk (Alolan),82.5,89,poison,dark,67.7,63.2,86,368264,7,500,Bite,Acid Spray,Dark Pulse,23,25,3,50000
Vulpix (Shadow),82.2,37,fire,none,62.7,77.1,82,395963,22,498,Ember,Weather Ball (Fire),Body Slam,4,4,3,50000
Florges,82.1,671,fairy,none,69.4,80.9,64,359155,6,499,Fairy Wind,Chilling Water,Disarming Voice,5,5,3,50000
Tentacool (Shadow),81.8,72,water,poison,58.8,94.9,76,424214,19,500,Poison Sting,Wrap,Water Pulse,5,6,3,50000
Goodra,81.6,706,dragon,none,69.2,78,67,361684,5.5,500,Dragon Breath,Aqua Tail,Draco Meteor,9,17,5,75000
Zigzagoon (Galarian),81.3,263,dark,normal,53.8,79.8,108,463656,50,500,Tackle,Body Slam,Dig,12,17,1,10000
Onix (Shadow),81.2,95,rock,ground,50.4,137.7,71,493224,18,500,Rock Throw,Breaking Swipe,Frustration,10,14,5,75000
Jigglypuff,81,39,normal,fairy,59.4,38.9,183,422464,28,500,Feint Attack,Body Slam,Dazzling Gleam,6,10,1,10000
Corviknight,80.9,823,flying,steel,62.7,74.7,85,397967,7.5,500,Air Slash,Air Cutter,Iron Head,4,6,1,10000
Lechonk,80.7,915,normal,none,59,65.2,109,419635,27,499,Tackle,Body Slam,Dig,12,17,1,10000
Pidgey,80.7,16,normal,flying,64,62.6,97,388706,29,499,Quick Attack,Aerial Ace,Air Cutter,6,5,1,10000
Probopass (Shadow),80.7,476,rock,steel,56.7,115.5,67,438976,9,499,Rock Throw,Frustration,Magnet Bomb,14,9,3,50000
Tadbulb,80.7,938,electric,none,66.7,53.9,104,373825,21,499,Thunder Shock,Discharge,Parabolic Charge,5,5,1,50000
Stunky,80.6,434,poison,dark,67.8,57,94,363282,16.5,498,Bite,Crunch,Flamethrower,23,28,3,50000
Barboach,80.4,339,water,ground,63.5,62.8,98,390844,24,500,Mud Shot,Mud Bomb,Aqua Tail,5,5,1,10000
Carbink,80.3,703,rock,fairy,48.6,145.3,73,515416,13.5,500,Rock Throw,Moonblast,Power Gem,12,10,5,75000
Ducklett,80.3,580,water,flying,56.4,71.1,110,441005,23,499,Wing Attack,Brave Bird,Aerial Ace,8,7,3,50000
Grimer (Alolan),80.1,88,poison,dark,69.5,50.5,102,357792,14,499,Bite,Crunch,Gunk Shot,23,38,3,50000
Wobbuffet (Shadow),80.1,202,psychic,none,38.2,72.3,236,652241,20,499,Charm,Frustration,Mirror Coat,9,7,3,50000
Wooper (Shadow),80,194,water,ground,59.2,60,119,422775,33,500,Mud Shot,Mud Bomb,Body Slam,5,5,3,50000
Weezing (Galarian) (Shadow),79.8,110,poison,fairy,69,78.3,67,361907,8.5,499,Fairy Wind,Brutal Swing,Frustration,4,8,3,50000
Dragonair,79.7,148,dragon,none,72.7,64.1,74,344851,10.5,500,Dragon Breath,Aqua Tail,Body Slam,9,9,5,75000
Dratini,79.7,147,dragon,none,71.4,61.9,79,349253,19.5,499,Dragon Breath,Aqua Tail,Twister,9,12,5,75000
Relicanth,79.7,369,water,rock,60.5,79,86,411326,7.5,499,Water Gun,Ancient Power,Aqua Tail,15,12,5,75000
Tepig,79.7,498,fire,none,67.4,55.5,99,370850,18,500,Ember,Body Slam,Flame Charge,4,6,3,10000
Wailmer,79.7,320,water,none,67.4,39.5,139,370240,13,500,Rollout,Body Slam,Scald,3,4,1,10000
Cottonee,79.5,546,grass,fairy,54,89.2,96,462055,29,500,Charm,Grass Knot,Seed Bomb,7,5,1,10000
Dewott,79.5,502,water,none,71.3,57.6,85,349306,11,499,Fury Cutter,Aqua Tail,Water Pulse,9,13,3,10000
Tinkatink,79.5,957,fairy,steel,57,78.8,97,435825,23,499,Fairy Wind,Flash Cannon,Play Rough,8,7,3,75000
Foongus,79.4,590,grass,poison,60.3,63.3,108,412650,20,499,Astonish,Body Slam,Grass Knot,4,5,3,50000
Mantine,79.4,226,water,flying,60.7,95.1,71,410071,9,499,Bubble,Aerial Ace,Bubble Beam,5,4,5,75000
Nosepass (Shadow),79.2,299,rock,none,51.4,136.2,69,482851,20,499,Rock Throw,Frustration,Rock Blast,14,8,3,50000
Wooper (Paldean),79.2,194,poison,ground,59.2,60,119,422775,33,500,Mud Shot,Body Slam,Dig,5,7,3,50000
Nosepass,79.1,299,rock,none,50.8,137.9,70,490422,20.5,499,Rock Throw,Rock Blast,Rock Slide,8,9,3,50000
Onix,79.1,95,rock,ground,50.4,137.7,71,493224,18,500,Rock Throw,Breaking Swipe,Heavy Slam,10,10,5,75000
Skuntank,79.1,435,poison,dark,70.9,55.2,90,352071,8,500,Bite,Crunch,Flamethrower,23,28,3,50000
Azurill,78.9,298,normal,fairy,42.9,72.3,127,393316,50,411,Bubble,Body Slam,Bubble Beam,4,4,3,10000
Stunfisk,78.9,618,ground,electric,59.1,71.5,100,422955,9,500,Mud Shot,Discharge,Muddy Water,5,5,5,75000
Deino,78.8,633,dark,dragon,68.9,62.1,85,363671,18.5,500,Dragon Breath,Body Slam,Crunch,9,12,5,75000
Probopass,78.8,476,rock,steel,56.3,117.6,67,443868,9.5,500,Rock Throw,Magnet Bomb,Rock Slide,9,9,3,50000
Weezing (Galarian),78.8,110,poison,fairy,69,78.3,67,361907,8.5,499,Fairy Wind,Brutal Swing,Hyper Beam,4,9,3,50000
Melmetal,78.6,809,steel,none,70.4,61.5,82,355094,5.5,500,Thunder Shock,Double Iron Bash,Flash Cannon,4,8,20,100000
Guzzlord,78.5,799,dark,dragon,65.4,38.2,152,380212,6.5,499,Dragon Tail,Brutal Swing,Crunch,3,4,20,100000
Nidoran Female,78.5,29,poison,none,59.6,67.4,104,417490,24,500,Bite,Body Slam,Poison Fang,18,20,3,50000
Wynaut,78.5,360,psychic,none,39.4,84.6,191,636410,49.5,500,Counter,Mirror Coat,,10,0,3,10000
Ledyba,78.3,165,bug,flying,52.8,94.1,95,471970,28.5,500,Bug Bite,Aerial Ace,Return,15,24,1,10000
Marowak,78.3,105,ground,none,64.1,87,70,390287,10.5,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Wigglytuff,78.3,40,normal,fairy,67.4,43.2,127,369768,9.5,500,Charm,Dazzling Gleam,Disarming Voice,7,6,1,10000
Drapion,78.2,452,poison,dark,69,79.5,66,362498,8,500,Bite,Aqua Tail,Crunch,18,23,5,75000
Marowak (Shadow),78.2,105,ground,none,64.1,87,70,390287,10.5,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Meditite,78.2,307,fighting,psychic,59,85.6,84,424209,29,500,Confusion,Ice Punch,Low Sweep,3,3,3,50000
Scizor,78.2,212,bug,steel,80.5,63.4,61,311348,6.5,500,Bullet Punch,Iron Head,Night Slash,8,5,5,75000
Wormadam (Trash),78.2,413,bug,steel,60.6,87.9,77,410487,12,499,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Ledyba (Shadow),78,165,bug,flying,53.7,91.9,94,464068,28,499,Bug Bite,Aerial Ace,Frustration,15,24,1,10000
Pidgey (Shadow),78,16,normal,flying,64,62.6,97,388706,29,499,Quick Attack,Aerial Ace,Air Cutter,6,5,1,10000
Azumarill,77.9,184,water,fairy,53.7,77.3,111,460555,12,497,Bubble,Hydro Pump,Ice Beam,7,5,3,50000
Swablu (Shadow),77.7,333,normal,flying,52.9,94.6,94,470159,24.5,500,Astonish,Aerial Ace,Disarming Voice,5,5,1,10000
Raticate (Alolan) (Shadow),77.6,20,dark,normal,62,74.9,86,399514,11,499,Bite,Crunch,Frustration,23,35,1,10000
Tinkatuff,77.3,958,fairy,steel,58.5,81.4,90,428536,14.5,500,Fairy Wind,Flash Cannon,Play Rough,8,7,3,75000
Igglybuff,77.1,174,normal,fairy,60.2,38.8,178,415972,47,500,Feint Attack,Body Slam,Psychic,6,10,1,10000
Lucario,77,448,fighting,steel,83.8,54.5,65,296776,7,499,Bullet Punch,Aura Sphere,Blaze Kick,6,6,5,75000
Grimer,76.8,88,poison,none,68.5,52.5,101,363016,14,500,Acid,Mud Bomb,Sludge,5,5,3,50000
Sealeo,76.8,364,ice,water,62.9,65.1,97,397554,11,500,Powder Snow,Aurora Beam,Body Slam,8,5,3,50000
Zubat,76.8,41,poison,flying,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Poison Fang,18,20,1,10000
Kakuna (Shadow),76.7,14,bug,poison,51.3,75.6,120,465181,50,488,Bug Bite,Frustration,Struggle,24,34,1,10000
Jangmo-o,76.5,782,dragon,none,63.9,72.9,84,391339,20,500,Dragon Tail,Brick Break,Dragon Claw,4,5,5,75000
Jumpluff,76.5,189,grass,flying,56.5,90.2,87,443300,12,500,Bullet Seed,Acrobatics,Aerial Ace,5,4,3,50000
Primarina,76.5,730,water,fairy,76.1,66.5,65,328760,6,500,Charm,Disarming Voice,Hydro Cannon,6,5,3,10000
Duskull,76.4,355,ghost,none,52.8,125.5,71,470314,28.5,499,Astonish,Night Shade,Ominous Wind,5,5,3,50000
Metapod (Shadow),76.4,11,bug,none,49.6,79.8,126,498672,50,498,Bug Bite,Frustration,Struggle,24,34,1,10000
Swinub,76.4,220,ice,ground,64.6,57.8,103,384612,26.5,498,Powder Snow,Body Slam,Icy Wind,5,6,3,50000
Forretress (Shadow),76.2,205,bug,steel,64,84.9,72,390851,8.5,500,Bug Bite,Earthquake,Frustration,22,24,5,75000
Nidoran Female (Shadow),76.2,29,poison,none,59.6,67.4,104,417490,24,500,Bite,Body Slam,Frustration,18,35,3,50000
Wooloo,76.1,831,normal,none,57.3,78.5,97,435789,28,500,Tackle,Payback,Stomp,20,14,3,10000
Deino (Shadow),75.9,633,dark,dragon,68.9,62.1,85,363671,18.5,500,Dragon Breath,Body Slam,Crunch,9,12,5,75000
Pawniard,75.9,624,dark,steel,77.1,61.7,68,323121,13,500,Fury Cutter,Iron Head,Night Slash,13,9,5,75000
Ninetales (Alolan) (Shadow),75.8,38,ice,fairy,66.8,77.7,72,373535,8,499,Charm,Blizzard,Dazzling Gleam,10,7,3,50000
Surskit,75.8,283,bug,water,64.8,66.8,89,385149,25,500,Bug Bite,Aqua Jet,Signal Beam,14,19,1,10000
Toxapex,75.8,748,poison,water,53.5,128.2,68,466110,11.5,500,Bite,Brine,Gunk Shot,25,38,3,50000
Zigzagoon (Galarian) (Shadow),75.8,263,dark,normal,53.8,79.8,108,463656,50,500,Tackle,Body Slam,Dig,12,17,1,10000
Whirlipede (Shadow),75.6,544,bug,poison,57.3,103.5,73,433002,17,500,Bug Bite,Frustration,Gyro Ball,24,17,1,10000
Yamask (Galarian),75.6,562,ground,ghost,59.1,91.4,78,421650,20,500,Astonish,Night Shade,Rock Tomb,5,5,3,50000
Fletchling,75.5,661,normal,flying,65.4,62.2,93,378391,24,499,Peck,Aerial Ace,Fly,6,6,1,10000
Ledian (Shadow),75.5,166,bug,flying,56.5,97.7,80,441205,14.5,500,Bug Bite,Aerial Ace,Bug Buzz,15,20,1,10000
Purugly (Shadow),75.5,432,normal,none,72.8,60.9,77,341050,9.5,499,Scratch,Aerial Ace,Frustration,23,35,3,50000
Spinda,75.5,327,normal,none,64.1,68.4,89,390337,16,500,Psycho Cut,Dig,Icy Wind,6,5,3,50000
Zubat (Shadow),75.5,41,poison,flying,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Frustration,18,35,1,10000
Drifloon (Shadow),75.3,425,ghost,flying,64.7,50.8,117,384020,16,499,Astonish,Frustration,Icy Wind,7,5,5,75000
Mandibuzz,75.3,630,dark,flying,53.1,86.7,102,469993,9,500,Air Slash,Aerial Ace,Dark Pulse,5,6,5,75000
Drifloon,75.2,425,ghost,flying,64.7,50.8,117,384020,16,499,Astonish,Icy Wind,Ominous Wind,5,5,5,75000
Duskull (Shadow),75.2,355,ghost,none,52.8,125.5,71,470314,28.5,499,Astonish,Frustration,Night Shade,7,5,3,50000
Forretress,75.2,205,bug,steel,64,84.9,72,390851,8.5,500,Bug Bite,Earthquake,Heavy Slam,22,17,5,75000
Runerigus,75.2,867,ground,ghost,64.7,96.1,62,385754,8.5,499,Astonish,Brutal Swing,Rock Tomb,4,5,3,50000
Koffing,75,109,poison,none,65.2,81.8,72,383745,16,500,Acid,Dark Pulse,Sludge,7,5,3,50000
Quagsire,75,195,water,ground,64.1,65,93,387576,9.5,500,Mud Shot,Acid Spray,Aqua Tail,6,5,3,50000
Escavalier,74.9,589,bug,steel,76.8,67.8,62,322717,6.5,500,Bug Bite,Acid Spray,Aerial Ace,15,15,3,50000
Tepig (Shadow),74.9,498,fire,none,67.4,55.5,99,370850,18,500,Ember,Body Slam,Flame Charge,4,6,3,10000
Dragonair (Shadow),74.7,148,dragon,none,72.7,64.1,74,344851,10.5,500,Dragon Breath,Aqua Tail,Body Slam,9,9,5,75000
Hakamo-o,74.7,783,dragon,fighting,67.4,77.5,71,370816,11,500,Dragon Tail,Brick Break,Dragon Claw,4,5,5,75000
Scizor (Mega),74.7,212,bug,steel,80.1,72.5,51,296275,4.5,488,Bullet Punch,Iron Head,Night Slash,8,5,5,75000
Corsola (Galarian),74.6,222,ghost,none,57.8,92,81,430751,13,500,Astonish,Night Shade,Power Gem,5,5,3,50000
Mightyena (Shadow),74.6,262,dark,none,73.6,60.4,76,338124,9.5,500,Bite,Crunch,Frustration,23,35,1,10000
Nidorina,74.6,30,poison,none,61.6,68.7,95,401577,14.5,497,Bite,Dig,Poison Fang,25,20,3,50000
Nidorina (Shadow),74.6,30,poison,none,61.6,68.7,95,401577,14.5,497,Bite,Dig,Frustration,25,35,3,50000
Rhyhorn,74.6,111,ground,rock,65.2,64.3,91,381947,11.5,499,Mud Slap,Bulldoze,Horn Attack,5,4,3,50000
Geodude (Shadow),74.4,74,rock,ground,69.7,74.8,68,354383,14.5,499,Rock Throw,Dig,Frustration,10,14,1,10000
Moltres (Galarian),74.4,146,dark,flying,66.8,78.7,70,367768,6,498,Sucker Punch,Ancient Power,Brave Bird,7,8,20,100000
Zweilous (Shadow),74.4,634,dark,dragon,70.6,62.8,80,354384,10.5,500,Bite,Body Slam,Dark Pulse,18,25,5,75000
Gligar,74.3,207,ground,flying,63,83.7,75,394972,10,499,Fury Cutter,Aerial Ace,Dig,12,13,5,75000
Stakataka,74.3,805,rock,steel,69.7,98.9,52,358312,6,499,Rock Throw,Bulldoze,Flash Cannon,9,14,20,100000
Torkoal,74.3,324,fire,none,61.9,87.1,74,399208,9,499,Ember,Earthquake,Flame Wheel,8,5,3,50000
Raticate (Alolan),74,20,dark,normal,62,74.9,86,399514,11,499,Bite,Crunch,Hyper Beam,23,40,1,10000
Sentret,74,161,normal,none,63,66.8,94,395138,34.5,500,Quick Attack,Brick Break,Dig,5,7,1,10000
Slurpuff,74,685,fairy,none,67.1,69,80,370089,8.5,500,Charm,Draining Kiss,Energy Ball,7,7,3,50000
Spearow,74,21,normal,flying,76.6,49.1,87,326964,24,500,Peck,Aerial Ace,Drill Peck,6,5,1,10000
Altaria,73.8,334,dragon,flying,59.6,88.8,79,418352,9.5,500,Dragon Breath,Dazzling Gleam,Dragon Pulse,14,14,1,10000
Foongus (Shadow),73.8,590,grass,poison,60.3,63.3,108,412650,20,499,Astonish,Grass Knot,Body Slam,5,4,3,50000
Ledian,73.8,166,bug,flying,56.5,97.7,80,441205,14.5,500,Bug Bite,Aerial Ace,Bug Buzz,15,20,1,10000
Metapod,73.8,11,bug,none,49.6,79.8,126,498672,50,498,Bug Bite,Return,Struggle,24,34,1,10000
